Rank,Nome,SMILES,Formula,Score,CNS_MPO,BBB,MW,LogP,TPSA,HBD,HBA,SA_Score,Strain_kcal,N_Sistemas,Sistemas,N_Alertas,Estrategia
102,NZK3c_piridilpiperazina_C4_indazol,c1cc(CCCCc2ccc3[nH]ncc3c2)nc(N2CCNCC2)c1,C20H25N5,0.6583,5.28,ALTA,335.2,2.93,56.8,2,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
103,NZK3c_pyrimidilpiperazina_C2OC_benzotiofeno,c1cc(COCc2ccc3sccc3c2)nc(N2CCNCC2)n1,C18H20N4OS,0.6579,5.84,ALTA,340.1,2.82,50.3,1,6,3.2,,1,serotoninergico,0,pip+link+indol
104,REF_varenicline,c1cncc(-c2ccc3c(c2)C2CCCN2C3)c1,C16H16N2,0.6577,4.75,ALTA,236.1,3.4,16.1,0,2,3.8,,2,colinergico|glutamatergico,0,referencia
105,NZK3b_quinuclidinona_C2_imidazol,O=C1CC2CCN1CC2CCc1c[nH]cn1,C12H17N3O,0.6575,6.0,ALTA,219.1,1.21,49.0,1,2,5.4,,2,colinergico|serotoninergico,0,core+link+h3sig
106,NZK3b_quinuclidinona_C3_imidazol,O=C1CC2CCN1CC2CCCc1c[nH]cn1,C13H19N3O,0.6574,6.0,ALTA,233.2,1.6,49.0,1,2,5.4,,2,colinergico|serotoninergico,0,core+link+h3sig
107,NZK3a_quinuclidina_C3NH_piridilpiperazina,c1cc(N2CCNCC2)ncc1NCCCC1CC2CCN1CC2,C19H31N5,0.6573,5.5,ALTA,329.3,2.17,43.4,2,5,4.1,,2,dopaminergico|serotoninergico,0,core+link+pip
108,NZK3b_quinuclidinona_C3NH_imidazol,O=C1CC2CCN1CC2CCCNc1c[nH]cn1,C13H20N4O,0.6572,5.5,ALTA,248.2,1.47,61.0,2,3,5.4,,3,colinergico|dopaminergico|serotoninergico,0,core+link+h3sig
109,NZK3c_pyrimidilpiperazina_C2_benzotiofeno,c1cc(CCc2ccc3sccc3c2)nc(N2CCNCC2)n1,C18H20N4S,0.6571,5.81,ALTA,324.1,2.89,41.0,1,5,3.2,,1,serotoninergico,0,pip+link+indol
110,NZK3b_quinuclidinona_C4_imidazol,O=C1CC2CCN1CC2CCCCc1c[nH]cn1,C14H21N3O,0.657,6.0,ALTA,247.2,1.99,49.0,1,2,5.4,,2,colinergico|serotoninergico,0,core+link+h3sig
111,NZK3b_3OH_quinuclidina_C2_fenoxipiperidina,OC1CC2CCN1CC2CCc1ccc(OC2CCNCC2)cc1,C20H30N2O2,0.6569,5.5,ALTA,330.2,2.41,44.7,2,4,6.6,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+h3sig
112,NZK3a_azanorbornano_C2OC_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1COCN1CC2CCC1C2,C19H26N4O2,0.6568,6.0,ALTA,342.2,2.2,53.8,1,6,5.2,,2,colinergico|serotoninergico,0,core+link+pip
113,NZK3b_quinuclidinona_C4_benzimidazol,O=C1CC2CCN1CC2CCCCc1ccc2[nH]cnc2c1,C18H23N3O,0.6567,5.61,ALTA,297.2,3.14,49.0,1,2,5.9,,3,colinergico|dopaminergico|serotoninergico,0,core+link+h3sig
114,NZK3c_piridilpiperazina_C2OC_benzotiofeno,c1cc(COCc2ccc3sccc3c2)nc(N2CCNCC2)c1,C19H21N3OS,0.6567,5.26,ALTA,339.1,3.42,37.4,1,5,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
115,NZK3c_pyrimidilpiperazina_C4_indol,c1cc(CCCCc2ccc3[nH]ccc3c2)nc(N2CCNCC2)n1,C20H25N5,0.6563,5.28,ALTA,335.2,2.93,56.8,2,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
116,REF_bitopertin,O=C1NC(c2ccc(OC(F)F)cc2)(C(O)c2cc(F)ccc2F)CO1,C17H13F4NO4,0.656,4.94,ALTA,371.1,3.23,67.8,2,4,4.8,,3,glutamatergico|pde|sigma,0,referencia
117,NZK3b_azanorbornano_C2_benzimidazol,c1nc2cc(CCN3CC4CCC3C4)ccc2[nH]1,C15H19N3,0.6558,5.75,ALTA,241.2,2.59,31.9,1,2,4.5,,2,dopaminergico|glutamatergico,0,core+link+h3sig
118,NZK3d_quinuclidinona_C3_oxadiazol_amino,O=C1CC2CCN1CC2CCCNc1conn1,C12H18N4O2,0.6558,6.0,ALTA,250.1,1.13,71.3,1,5,5.4,,2,colinergico|serotoninergico,0,core+link+nmda
119,NZK3a_quinuclidinona_C3NH_piridilpiperazina,O=C1CC2CCN1CC2CCCNc1ccc(N2CCNCC2)nc1,C19H29N5O,0.6555,5.5,ALTA,343.2,1.55,60.5,2,5,5.9,,3,colinergico|dopaminergico|serotoninergico,0,core+link+pip
120,NZK3b_quinuclidina_C3NH_benzimidazol,c1nc2cc(NCCCC3CC4CCN3CC4)ccc2[nH]1,C17H24N4,0.6555,5.01,ALTA,284.2,3.24,44.0,2,3,4.1,,3,colinergico|dopaminergico|serotoninergico,0,core+link+h3sig
121,NZK3d_quinuclidinona_C4_oxadiazol_amino,O=C1CC2CCN1CC2CCCCNc1conn1,C13H20N4O2,0.6555,6.0,ALTA,264.2,1.52,71.3,1,5,5.4,,2,colinergico|serotoninergico,0,core+link+nmda
122,NZK3d_azanorbornano_C2OC_pirazina_amida,O=C(NCOCN1CC2CCC1C2)c1cnccn1,C13H18N4O2,0.6554,6.0,ALTA,262.1,0.62,67.3,1,5,4.3,,3,dopaminergico|glutamatergico|pde,0,core+link+nmda
123,NZK3b_quinuclidina_C3NH_imidazol,c1nc(NCCCC2CC3CCN2CC3)c[nH]1,C13H22N4,0.6553,5.5,ALTA,234.2,2.09,44.0,2,3,3.8,,2,dopaminergico|serotoninergico,0,core+link+h3sig
124,NZK3d_azanorbornano_C3NH_pirazina_amida,O=C(NNCCCN1CC2CCC1C2)c1cnccn1,C14H21N5O,0.6551,5.5,ALTA,275.2,0.58,70.2,2,5,4.3,,4,dopaminergico|glutamatergico|pde|serotoninergico,0,core+link+nmda
125,NZK3a_azanorbornano_C3_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1CCCN1CC2CCC1C2,C20H28N4O,0.655,5.92,ALTA,340.2,2.65,44.5,1,5,5.2,,2,colinergico|serotoninergico,0,core+link+pip
126,NZK3a_quinuclidinona_C4_piridilpiperazina,O=C1CC2CCN1CC2CCCCc1ccc(N2CCNCC2)nc1,C20H30N4O,0.6546,6.0,ALTA,342.2,2.07,48.5,1,4,5.9,,2,colinergico|serotoninergico,0,core+link+pip
127,NZK3c_fenilpiperazina_C3_pirrolopiridina,c1cc(CCCc2cnc3cc[nH]c3c2)cc(N2CCNCC2)c1,C20H24N4,0.6543,5.1,ALTA,320.2,3.15,44.0,2,3,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
128,NZK3a_quinuclidina_C2_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCC1CC2CCN1CC2,C17H27N5,0.6538,6.0,ALTA,301.2,1.3,44.3,1,5,4.1,,1,serotoninergico,0,core+link+pip
129,NZK3c_fenilpiperazina_C3_indazol,c1cc(CCCc2ccc3[nH]ncc3c2)cc(N2CCNCC2)c1,C20H24N4,0.6538,5.1,ALTA,320.2,3.15,44.0,2,3,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
130,NZK3a_pirrolidina_C2OC_piridilpiperazina,c1cc(N2CCNCC2)ncc1COCC1CCCN1,C15H24N4O,0.6537,5.5,ALTA,276.2,0.76,49.4,2,5,3.5,,3,colinergico|histaminergico|serotoninergico,0,core+link+pip
131,NZK3a_quinuclidina_C3_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCCC1CC2CCN1CC2,C18H29N5,0.6534,6.0,ALTA,315.2,1.69,44.3,1,5,4.1,,1,serotoninergico,0,core+link+pip
132,NZK3a_quinuclidinona_C3_pyrimidilpiperazina,O=C1CC2CCN1CC2CCCc1cnc(N2CCNCC2)nc1,C18H27N5O,0.6533,6.0,ALTA,329.2,1.08,61.4,1,5,5.8,,2,colinergico|serotoninergico,0,core+link+pip
133,NZK3a_quinuclidinona_C3NH_benzisoxazolpip,O=C1CC2CCN1CC2CCCNc1ccc2c(N3CCNCC3)noc2c1,C21H29N5O2,0.6532,5.33,ALTA,383.2,2.3,73.6,2,6,6.8,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+pip
134,NZK3a_quinuclidina_C4_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCCCC1CC2CCN1CC2,C19H31N5,0.6531,6.0,ALTA,329.3,2.08,44.3,1,5,4.1,,1,serotoninergico,0,core+link+pip
135,NZK3c_piridilpiperazina_C3_indol,c1cc(CCCc2ccc3[nH]ccc3c2)nc(N2CCNCC2)c1,C20H24N4,0.6527,5.1,ALTA,320.2,3.15,44.0,2,3,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
136,NZK3a_quinuclidina_C4_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1CCCCC1CC2CCN1CC2,C22H32N4O,0.6525,5.26,ALTA,368.3,3.44,44.5,1,5,4.9,,3,colinergico|glutamatergico|serotoninergico,0,core+link+pip
137,NZK3b_3OH_quinuclidina_C3_fenoxipiperidina,OC1CC2CCN1CC2CCCc1ccc(OC2CCNCC2)cc1,C21H32N2O2,0.652,5.35,ALTA,344.2,2.8,44.7,2,4,6.6,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+h3sig
138,NZK3a_quinuclidinona_C4_pyrimidilpiperazina,O=C1CC2CCN1CC2CCCCc1cnc(N2CCNCC2)nc1,C19H29N5O,0.6519,6.0,ALTA,343.2,1.47,61.4,1,5,5.9,,2,colinergico|serotoninergico,0,core+link+pip
139,NZK3a_quinuclidina_C3_triazinpiperazina,c1nc(CCCC2CC3CCN2CC3)nc(N2CCNCC2)n1,C17H28N6,0.6518,6.0,ALTA,316.2,1.09,57.2,1,6,4.1,,1,serotoninergico,0,core+link+pip
140,NZK3c_piridilpiperazina_C3NH_pirrolopiridina,c1cc(CCCNc2cnc3cc[nH]c3c2)nc(N2CCNCC2)c1,C19H24N6,0.6516,5.0,ALTA,336.2,2.41,68.9,3,5,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
141,NZK3a_quinuclidina_C4_triazinpiperazina,c1nc(CCCCC2CC3CCN2CC3)nc(N2CCNCC2)n1,C18H30N6,0.6515,6.0,ALTA,330.3,1.48,57.2,1,6,4.1,,1,serotoninergico,0,core+link+pip
142,NZK3a_pirrolidina_C3_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCCC1CCCN1,C15H25N5,0.6514,5.5,ALTA,275.2,0.96,53.1,2,5,3.5,,3,dopaminergico|histaminergico|serotoninergico,0,core+link+pip
143,NZK3d_azanorbornano_C2_aminoisoxazol,c1cc(NCCN2CC3CCC2C3)on1,C11H17N3O,0.6512,6.0,ALTA,207.1,1.57,41.3,1,4,4.3,,1,glutamatergico,0,core+link+nmda
144,NZK3d_azanorbornano_C3_aminoisoxazol,c1cc(NCCCN2CC3CCC2C3)on1,C12H19N3O,0.6512,6.0,ALTA,221.2,1.96,41.3,1,4,4.3,,1,glutamatergico,0,core+link+nmda
145,NZK3d_azanorbornano_C4_aminoisoxazol,c1cc(NCCCCN2CC3CCC2C3)on1,C13H21N3O,0.6512,6.0,ALTA,235.2,2.35,41.3,1,4,4.3,,1,glutamatergico,0,core+link+nmda
146,NZK3b_quinuclidinona_C2_piperidinimidazol,O=C1CC2CCN1CC2CCc1cn(C2CCNCC2)cn1,C17H26N4O,0.6511,6.0,ALTA,302.2,1.61,50.2,1,4,5.8,,2,colinergico|serotoninergico,0,core+link+h3sig
147,NZK3c_piridilpiperazina_C3NH_indazol,c1cc(CCCNc2ccc3[nH]ncc3c2)nc(N2CCNCC2)c1,C19H24N6,0.6509,5.0,ALTA,336.2,2.41,68.9,3,5,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
148,NZK3d_azanorbornano_C2OC_aminoisoxazol,c1cc(NCOCN2CC3CCC2C3)on1,C11H17N3O2,0.6506,6.0,ALTA,223.1,1.5,50.5,1,5,4.3,,1,glutamatergico,0,core+link+nmda
149,NZK3a_3OH_quinuclidina_C2_benzisoxazolpip,OC1CC2CCN1CC2CCc1ccc2c(N3CCNCC3)noc2c1,C20H28N4O2,0.6504,5.5,ALTA,356.2,1.83,64.8,2,6,7.2,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+pip
150,NZK3d_quinuclidinona_C2OC_pirazina_amida,O=C(NCOCC1CN2CCC1CC2=O)c1cnccn1,C14H18N4O3,0.6503,6.0,MÉDIA,290.1,0.05,84.4,1,5,5.4,,5,colinergico|dopaminergico|glutamatergico|pde|serotoninergico,0,core+link+nmda
151,NZK3a_pirrolidina_C2_triazinpiperazina,c1nc(CCC2CCCN2)nc(N2CCNCC2)n1,C13H22N6,0.6498,5.5,ALTA,262.2,-0.03,66.0,2,6,3.5,,3,dopaminergico|histaminergico|serotoninergico,0,core+link+pip
152,NZK3a_azanorbornano_C2OC_piridilpiperazina,c1cc(N2CCNCC2)ncc1COCN1CC2CCC1C2,C17H26N4O,0.6494,6.0,ALTA,302.2,1.45,40.6,1,5,4.6,,1,serotoninergico,0,core+link+pip
153,NZK3b_quinuclidina_C2_imidazol,c1nc(CCC2CC3CCN2CC3)c[nH]1,C12H19N3,0.6493,5.8,ALTA,205.2,1.83,31.9,1,2,3.8,,1,serotoninergico,0,core+link+h3sig
154,NZK3b_quinuclidina_C3_imidazol,c1nc(CCCC2CC3CCN2CC3)c[nH]1,C13H21N3,0.6493,5.8,ALTA,219.2,2.22,31.9,1,2,3.8,,1,serotoninergico,0,core+link+h3sig
155,NZK3c_pyrimidilpiperazina_C3_pirrolopiridina,c1cc(CCCc2cnc3cc[nH]c3c2)nc(N2CCNCC2)n1,C18H22N6,0.6493,5.5,ALTA,322.2,1.94,69.7,2,5,3.2,,1,serotoninergico,0,pip+link+indol
156,NZK3c_pyrimidilpiperazina_C4_pirrolopiridina,c1cc(CCCCc2cnc3cc[nH]c3c2)nc(N2CCNCC2)n1,C19H24N6,0.6492,5.5,ALTA,336.2,2.33,69.7,2,5,3.2,,1,serotoninergico,0,pip+link+indol
157,NZK3c_pyrimidilpiperazina_C2OC_pirrolopiridina,c1cc(COCc2cnc3cc[nH]c3c2)nc(N2CCNCC2)n1,C17H20N6O,0.6492,5.5,ALTA,324.2,1.48,79.0,2,6,3.2,,1,serotoninergico,0,pip+link+indol
158,NZK3c_pyrimidilpiperazina_C2OC_indazol,c1cc(COCc2ccc3[nH]ncc3c2)nc(N2CCNCC2)n1,C17H20N6O,0.6491,5.5,ALTA,324.2,1.48,79.0,2,6,3.2,,1,serotoninergico,0,pip+link+indol
159,NZK3d_quinuclidinona_C2OC_aminoisoxazol,O=C1CC2CCN1CC2COCNc1ccno1,C12H17N3O3,0.649,6.0,ALTA,251.1,0.93,67.6,1,5,5.4,,3,colinergico|glutamatergico|serotoninergico,0,core+link+nmda
160,NZK3c_pyrimidilpiperazina_C3NH_indol,c1cc(CCCNc2ccc3[nH]ccc3c2)nc(N2CCNCC2)n1,C19H24N6,0.6489,5.0,ALTA,336.2,2.41,68.9,3,5,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
161,NZK3c_benzisoxazolpip_C2OC_indazol,c1cc(COCc2ccc3[nH]ncc3c2)c2onc(N3CCNCC3)c2c1,C20H21N5O2,0.6488,5.31,ALTA,363.2,2.83,79.2,2,6,4.0,,2,dopaminergico|serotoninergico,0,pip+link+indol
162,NZK3c_fenilpiperazina_C2OC_indol,c1cc(COCc2ccc3[nH]ccc3c2)cc(N2CCNCC2)c1,C20H23N3O,0.6487,4.96,ALTA,321.2,3.29,40.3,2,3,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
163,REF_prucalopride,NC(=O)c1cc2n(c1)CCN(CCCC1CCNC1=O)CC2,C16H24N4O2,0.6487,5.5,MÉDIA,304.2,0.36,80.4,2,4,3.6,,4,colinergico|dopaminergico|serotoninergico|sigma,0,referencia
164,NZK3a_quinuclidinona_C4_benzisoxazolpip,O=C1CC2CCN1CC2CCCCc1ccc2c(N3CCNCC3)noc2c1,C22H30N4O2,0.6483,5.68,ALTA,382.2,2.82,61.6,1,5,6.8,,3,colinergico|glutamatergico|serotoninergico,0,core+link+pip
165,NZK3d_quinuclidinona_C2_glicinamida,NC(=O)CNCCC1CN2CCC1CC2=O,C11H19N3O2,0.6482,5.5,ALTA,225.1,-0.68,75.4,2,3,5.3,,4,colinergico|dopaminergico|noradrenergico|serotoninergico,0,core+link+nmda
166,NZK3d_quinuclidinona_C3_glicinamida,NC(=O)CNCCCC1CN2CCC1CC2=O,C12H21N3O2,0.6479,5.5,ALTA,239.2,-0.29,75.4,2,3,5.3,,4,colinergico|dopaminergico|noradrenergico|serotoninergico,0,core+link+nmda
167,NZK3c_piridilpiperazina_C2_benzotiofeno,c1cc(CCc2ccc3sccc3c2)nc(N2CCNCC2)c1,C19H21N3S,0.6478,4.96,ALTA,323.1,3.49,28.2,1,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
168,NZK3a_azanorbornano_C4_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1CCCCN1CC2CCC1C2,C21H30N4O,0.6476,5.71,ALTA,354.2,3.04,44.5,1,5,5.3,,2,colinergico|serotoninergico,0,core+link+pip
169,NZK3a_azanorbornano_C3_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCCN1CC2CCC1C2,C17H27N5,0.6472,6.0,ALTA,301.2,1.3,44.3,1,5,4.6,,1,serotoninergico,0,core+link+pip
170,NZK3a_azanorbornano_C4_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCCCN1CC2CCC1C2,C18H29N5,0.6472,6.0,ALTA,315.2,1.69,44.3,1,5,4.6,,1,serotoninergico,0,core+link+pip
171,NZK3b_quinuclidina_C4_imidazol,c1nc(CCCCC2CC3CCN2CC3)c[nH]1,C14H23N3,0.6471,5.74,ALTA,233.2,2.61,31.9,1,2,3.8,,1,serotoninergico,0,core+link+h3sig
172,NZK3d_3OH_quinuclidina_C2_aminoisoxazol,OC1CC2CCN1CC2CCNc1ccno1,C12H19N3O2,0.6471,5.5,ALTA,237.1,1.14,61.5,2,5,6.2,,3,colinergico|dopaminergico|glutamatergico,0,core+link+nmda
173,NZK3c_pyrimidilpiperazina_C3_benzotiofeno,c1cc(CCCc2ccc3sccc3c2)nc(N2CCNCC2)n1,C19H22N4S,0.647,5.47,ALTA,338.2,3.28,41.0,1,5,3.2,,1,serotoninergico,0,pip+link+indol
174,NZK3d_3OH_quinuclidina_C3_aminoisoxazol,OC1CC2CCN1CC2CCCNc1ccno1,C13H21N3O2,0.6468,5.5,ALTA,251.2,1.53,61.5,2,5,6.2,,3,colinergico|dopaminergico|glutamatergico,0,core+link+nmda
175,NZK3b_azanorbornano_C2OC_benzimidazol,c1nc2cc(COCN3CC4CCC3C4)ccc2[nH]1,C15H19N3O,0.6467,5.99,ALTA,257.2,2.52,41.1,1,3,4.6,,1,dopaminergico,0,core+link+h3sig
176,NZK3d_3OH_quinuclidina_C4_aminoisoxazol,OC1CC2CCN1CC2CCCCNc1ccno1,C14H23N3O2,0.6465,5.5,ALTA,265.2,1.92,61.5,2,5,6.2,,3,colinergico|dopaminergico|glutamatergico,0,core+link+nmda
177,NZK3a_azanorbornano_C4_triazinpiperazina,c1nc(CCCCN2CC3CCC2C3)nc(N2CCNCC2)n1,C17H28N6,0.6461,6.0,ALTA,316.2,1.09,57.2,1,6,4.6,,1,serotoninergico,0,core+link+pip
178,NZK3c_clorofenilpip_C2OC_pirrolopiridina,Clc1ccc(N2CCNCC2)cc1COCc1cnc2cc[nH]c2c1,C19H21ClN4O,0.646,4.91,ALTA,356.1,3.34,53.2,2,4,3.3,,2,pde|serotoninergico,0,pip+link+indol
179,NZK3b_azanorbornano_C2_fenoxipiperidina,c1cc(OC2CCNCC2)ccc1CCN1CC2CCC1C2,C19H28N2O,0.6456,5.44,ALTA,300.2,2.84,24.5,1,3,4.6,,2,dopaminergico|histaminergico,0,core+link+h3sig
180,NZK3c_clorofenilpip_C2OC_indazol,Clc1ccc(N2CCNCC2)cc1COCc1ccc2[nH]ncc2c1,C19H21ClN4O,0.6452,4.91,ALTA,356.1,3.34,53.2,2,4,3.3,,2,dopaminergico|serotoninergico,0,pip+link+indol
181,NZK3b_quinuclidina_C2_piperidinimidazol,c1nc(CCC2CC3CCN2CC3)cn1C1CCNCC1,C17H28N4,0.645,5.83,ALTA,288.2,2.22,33.1,1,4,4.1,,1,serotoninergico,0,core+link+h3sig
182,NZK3a_quinuclidinona_C2OC_piridilpiperazina,O=C1CC2CCN1CC2COCc1ccc(N2CCNCC2)nc1,C18H26N4O2,0.6445,6.0,ALTA,330.2,0.88,57.7,1,5,5.8,,3,colinergico|histaminergico|serotoninergico,0,core+link+pip
183,NZK3d_quinuclidina_C2_glicinamida,NC(=O)CNCCC1CC2CCN1CC2,C11H21N3O,0.6445,5.5,ALTA,211.2,-0.06,58.4,2,3,3.7,,3,dopaminergico|noradrenergico|serotoninergico,0,core+link+nmda
184,NZK3d_quinuclidinona_C2_oxadiazol_amino,O=C1CC2CCN1CC2CCNc1conn1,C11H16N4O2,0.6445,6.0,ALTA,236.1,0.74,71.3,1,5,5.4,,3,colinergico|dopaminergico|serotoninergico,0,core+link+nmda
185,NZK3a_azanorbornano_C2_piridilpiperazina,c1cc(N2CCNCC2)ncc1CCN1CC2CCC1C2,C17H26N4,0.644,5.79,ALTA,286.2,1.52,31.4,1,4,4.6,,1,serotoninergico,0,core+link+pip
186,NZK3c_clorofenilpip_C2_pirrolopiridina,Clc1ccc(N2CCNCC2)cc1CCc1cnc2cc[nH]c2c1,C19H21ClN4,0.644,4.84,ALTA,340.1,3.41,44.0,2,3,3.3,,2,dopaminergico|serotoninergico,0,pip+link+indol
187,NZK3a_azanorbornano_C3_piridilpiperazina,c1cc(N2CCNCC2)ncc1CCCN1CC2CCC1C2,C18H28N4,0.6438,5.79,ALTA,300.2,1.91,31.4,1,4,4.6,,1,serotoninergico,0,core+link+pip
188,NZK3a_azanorbornano_C4_piridilpiperazina,c1cc(N2CCNCC2)ncc1CCCCN1CC2CCC1C2,C19H30N4,0.6438,5.79,ALTA,314.2,2.3,31.4,1,4,4.6,,1,serotoninergico,0,core+link+pip
189,NZK3c_fenilpiperazina_C3NH_pirrolopiridina,c1cc(CCCNc2cnc3cc[nH]c3c2)cc(N2CCNCC2)c1,C20H25N5,0.6438,4.73,ALTA,335.2,3.02,56.0,3,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
190,NZK3b_3OH_quinuclidina_C2_benzimidazol,OC1CC2CCN1CC2CCc1ccc2[nH]cnc2c1,C16H21N3O,0.6434,5.5,ALTA,271.2,2.16,52.1,2,3,6.5,,3,colinergico|dopaminergico|serotoninergico,0,core+link+h3sig
191,NZK3c_fenilpiperazina_C3NH_indazol,c1cc(CCCNc2ccc3[nH]ncc3c2)cc(N2CCNCC2)c1,C20H25N5,0.6434,4.73,ALTA,335.2,3.02,56.0,3,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
192,NZK3b_quinuclidina_C3_piperidinimidazol,c1nc(CCCC2CC3CCN2CC3)cn1C1CCNCC1,C18H30N4,0.6432,5.77,ALTA,302.2,2.62,33.1,1,4,4.1,,1,serotoninergico,0,core+link+h3sig
193,NZK3c_clorofenilpip_C2_indazol,Clc1ccc(N2CCNCC2)cc1CCc1ccc2[nH]ncc2c1,C19H21ClN4,0.6432,4.84,ALTA,340.1,3.41,44.0,2,3,3.3,,2,dopaminergico|serotoninergico,0,pip+link+indol
194,NZK3b_3OH_quinuclidina_C3_benzimidazol,OC1CC2CCN1CC2CCCc1ccc2[nH]cnc2c1,C17H23N3O,0.6425,5.48,ALTA,285.2,2.55,52.1,2,3,6.5,,3,colinergico|dopaminergico|serotoninergico,0,core+link+h3sig
195,NZK3c_piridilpiperazina_C3NH_indol,c1cc(CCCNc2ccc3[nH]ccc3c2)nc(N2CCNCC2)c1,C20H25N5,0.6425,4.73,ALTA,335.2,3.02,56.0,3,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
196,NZK3a_quinuclidina_C2OC_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1COCC1CC2CCN1CC2,C17H27N5O,0.642,6.0,ALTA,317.2,0.89,53.5,1,6,4.1,,2,histaminergico|serotoninergico,0,core+link+pip
197,NZK3b_3OH_quinuclidina_C4_fenoxipiperidina,OC1CC2CCN1CC2CCCCc1ccc(OC2CCNCC2)cc1,C22H34N2O2,0.6418,5.06,ALTA,358.3,3.19,44.7,2,4,6.7,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+h3sig
198,REF_idalopirdina,O=S(=O)(Nc1cnc2ccccc2n1)c1ccc(N2CCNCC2)cc1,C18H19N5O2S,0.6418,5.43,ALTA,369.1,1.84,87.2,2,6,3.7,,2,dopaminergico|serotoninergico,0,referencia
199,NZK3b_3OH_quinuclidina_C2OC_fenoxipiperidina,OC1CC2CCN1CC2COCc1ccc(OC2CCNCC2)cc1,C20H30N2O3,0.6416,5.5,ALTA,346.2,1.99,54.0,2,5,6.6,,3,colinergico|dopaminergico|histaminergico,0,core+link+h3sig
200,NZK3b_quinuclidina_C2OC_imidazol,c1nc(COCC2CC3CCN2CC3)c[nH]1,C12H19N3O,0.6405,6.0,ALTA,221.2,1.41,41.1,1,3,3.8,,0,,0,core+link+h3sig
201,NZK3a_quinuclidina_C3NH_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1NCCCC1CC2CCN1CC2,C18H30N6,0.6398,5.5,ALTA,330.3,1.56,56.3,2,6,4.1,,1,serotoninergico,0,core+link+pip
202,NZK3c_fenilpiperazina_C2_indol,c1cc(CCc2ccc3[nH]ccc3c2)cc(N2CCNCC2)c1,C20H23N3,0.6398,4.66,ALTA,305.2,3.36,31.1,2,2,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
203,REF_d_cicloserina,N[C@H]1CONC1=O,C3H6N2O2,0.6393,5.5,ALTA,102.0,-1.62,64.3,2,3,3.1,,1,glutamatergico,0,referencia
204,NZK3d_quinuclidina_C3_oxadiazol_amino,c1onnc1NCCCC1CC2CCN1CC2,C12H20N4O,0.639,6.0,ALTA,236.2,1.75,54.2,1,5,3.8,,0,,0,core+link+nmda
205,NZK3d_quinuclidina_C2_oxadiazol_amino,c1onnc1NCCC1CC2CCN1CC2,C11H18N4O,0.6387,6.0,ALTA,222.1,1.36,54.2,1,5,3.8,,0,,0,core+link+nmda
206,NZK3d_quinuclidina_C4_oxadiazol_amino,c1onnc1NCCCCC1CC2CCN1CC2,C13H22N4O,0.6387,6.0,ALTA,250.2,2.14,54.2,1,5,3.8,,0,,0,core+link+nmda
207,NZK3c_benzisoxazolpip_C3_indazol,c1cc(CCCc2ccc3[nH]ncc3c2)c2onc(N3CCNCC3)c2c1,C21H23N5O,0.6385,4.95,ALTA,361.2,3.29,70.0,2,5,4.0,,2,dopaminergico|serotoninergico,0,pip+link+indol
208,NZK3b_azanorbornano_C3_piperidinimidazol,c1nc(CCCN2CC3CCC2C3)cn1C1CCNCC1,C17H28N4,0.638,5.83,ALTA,288.2,2.22,33.1,1,4,4.6,,1,serotoninergico,0,core+link+h3sig
209,NZK3b_azanorbornano_C2OC_fenoxipiperidina,c1cc(OC2CCNCC2)ccc1COCN1CC2CCC1C2,C19H28N2O2,0.6378,5.71,ALTA,316.2,2.78,33.7,1,4,4.6,,1,histaminergico,0,core+link+h3sig
