Rank,Nome,SMILES,Score_Final,CNS_MPO,BBB_Prob,BBB_Cat,MW,LogP,TPSA,HBD,HBA,RotBonds,Multi_Target_Score,Lipinski_OK,N_Alertas,Estrategia,Fragmento_A,Linker,Fragmento_C
96,NZK1_3OH_quinuclidina_propileno_naftil_piperazina,OC1CC2CCN1CC2CCCc1ccc2c(N3CCNCC3)cccc2c1,0.6949,4.85,1.0,ALTA,379.3,3.23,38.7,2,4,5,0.1427,True,0,A-linker-C,3OH_quinuclidina,propileno,naftil_piperazina
97,NZK1_tropano_butileno_benzisoxazol_pip,CN1C2CCC1C(CCCCc1ccc3onc(N4CCNCC4)c3c1)C(O)C2,0.6949,5.08,1.0,ALTA,398.3,2.79,64.8,2,6,6,0.1108,True,0,A-linker-C,tropano,butileno,benzisoxazol_pip
98,NZK1_quinuclidina_etil_amida_indol_piperazina,O=C(CC1CN2CCC1CC2)Nc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.691,4.75,1.0,ALTA,395.3,2.29,63.4,3,4,6,0.1436,True,0,A-linker-C,quinuclidina,etil_amida,indol_piperazina
99,NZK1_azabiciclo_222_etil_amida_indol_piperazina,O=C(CC1CN2CCC1CC2)Nc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.691,4.75,1.0,ALTA,395.3,2.29,63.4,3,4,6,0.1436,True,0,A-linker-C,azabiciclo_222,etil_amida,indol_piperazina
100,NZK1_tropano_etil_amida_naftil_piperazina,CN1C2CCC1C(CC(=O)Nc1ccc3c(N4CCNCC4)cccc3c1)C(O)C2,0.6906,4.66,1.0,ALTA,408.3,2.42,67.8,3,5,4,0.1547,True,0,A-linker-C,tropano,etil_amida,naftil_piperazina
101,NZK1_azanorbornano_etil_amida_indol_piperazina,O=C(CN1CC2CCC1C2)Nc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6896,4.85,1.0,ALTA,381.3,2.04,63.4,3,4,6,0.1251,True,0,A-linker-C,azanorbornano,etil_amida,indol_piperazina
102,NZK1_azanorbornano_etileno_pyrimidil_piperazina,c1nc(N2CCNCC2)ncc1CCN1CC2CCC1C2,0.6895,6.0,0.8,ALTA,287.2,0.91,44.3,1,5,4,0.0983,True,0,A-linker-C,azanorbornano,etileno,pyrimidil_piperazina
103,NZK1_azanorbornano_etil_eter_pyrimidil_piperazina,c1nc(N2CCNCC2)ncc1COCN1CC2CCC1C2,0.6893,6.0,0.8,ALTA,303.2,0.84,53.5,1,6,5,0.0976,True,0,A-linker-C,azanorbornano,etil_eter,pyrimidil_piperazina
104,NZK1_azanorbornano_propileno_indol_piperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCCN1CC2CCC1C2,0.6892,5.03,1.0,ALTA,366.3,3.03,34.3,2,3,7,0.0988,True,0,A-linker-C,azanorbornano,propileno,indol_piperazina
105,NZK1_quinuclidinona_butileno_indol_piperazina,O=C1CC2CCN1CC2CCCCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6862,4.71,1.0,ALTA,408.3,3.2,51.4,2,3,8,0.133,True,0,A-linker-C,quinuclidinona,butileno,indol_piperazina
106,NZK1_3OH_quinuclidina_etileno_indol_piperazina,OC1CC2CCN1CC2CCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6849,4.84,1.0,ALTA,382.3,2.21,54.5,3,4,6,0.1107,True,0,A-linker-C,3OH_quinuclidina,etileno,indol_piperazina
107,NZK1_3OH_quinuclidina_etil_carbonil_indol_piperazina,O=C(CC1CN2CCC1CC2O)c1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6843,4.74,1.0,ALTA,396.3,1.85,71.6,3,5,6,0.1225,True,0,A-linker-C,3OH_quinuclidina,etil_carbonil,indol_piperazina
108,NZK1_quinuclidina_etil_amida_pyrimidil_piperazina,O=C(CC1CN2CCC1CC2)Nc1cnc(N2CCNCC2)nc1,0.6826,5.5,0.8,ALTA,330.2,0.56,73.4,2,6,4,0.1447,True,0,A-linker-C,quinuclidina,etil_amida,pyrimidil_piperazina
109,NZK1_azabiciclo_222_etil_amida_pyrimidil_piperazina,O=C(CC1CN2CCC1CC2)Nc1cnc(N2CCNCC2)nc1,0.6826,5.5,0.8,ALTA,330.2,0.56,73.4,2,6,4,0.1447,True,0,A-linker-C,azabiciclo_222,etil_amida,pyrimidil_piperazina
110,NZK1_quinuclidina_propileno_indol_piperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCCC1CN2CCC1CC2,0.681,4.68,1.0,ALTA,380.3,3.28,34.3,2,3,7,0.12,True,0,A-linker-C,quinuclidina,propileno,indol_piperazina
111,NZK1_azabiciclo_222_propileno_indol_piperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCCC1CN2CCC1CC2,0.681,4.68,1.0,ALTA,380.3,3.28,34.3,2,3,7,0.12,True,0,A-linker-C,azabiciclo_222,propileno,indol_piperazina
112,NZK1_tropano_propileno_naftil_piperazina,CN1C2CCC1C(CCCc1ccc3c(N4CCNCC4)cccc3c1)C(O)C2,0.6801,4.57,1.0,ALTA,393.3,3.42,38.7,2,4,5,0.1322,True,0,A-linker-C,tropano,propileno,naftil_piperazina
113,NZK1_3OH_quinuclidina_etil_eter_indol_piperazina,OC1CC2CCN1CC2COCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6797,4.73,1.0,ALTA,398.3,1.79,63.8,3,5,7,0.1086,True,0,A-linker-C,3OH_quinuclidina,etil_eter,indol_piperazina
114,NZK1_3OH_quinuclidina_propileno_indol_piperazina,OC1CC2CCN1CC2CCCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6786,4.69,1.0,ALTA,396.3,2.6,54.5,3,4,7,0.1105,True,0,A-linker-C,3OH_quinuclidina,propileno,indol_piperazina
115,NZK1_3OH_quinuclidina_etil_carbonil_benzisoxazol_pip,O=C(CC1CN2CCC1CC2O)c1ccc2onc(N3CCNCC3)c2c1,0.6775,5.43,0.8,ALTA,370.2,1.47,81.8,2,7,4,0.1374,True,0,A-linker-C,3OH_quinuclidina,etil_carbonil,benzisoxazol_pip
116,NZK1_tropano_etileno_indol_piperazina,CN1C2CCC1C(CCc1ccc3c(CCN4CCNCC4)c[nH]c3c1)C(O)C2,0.6771,4.74,1.0,ALTA,396.3,2.39,54.5,3,4,6,0.0987,True,0,A-linker-C,tropano,etileno,indol_piperazina
117,NZK1_tropano_etil_carbonil_indol_piperazina,CN1C2CCC1C(CC(=O)c1ccc3c(CCN4CCNCC4)c[nH]c3c1)C(O)C2,0.6769,4.64,1.0,ALTA,410.3,2.03,71.6,3,5,6,0.1118,True,0,A-linker-C,tropano,etil_carbonil,indol_piperazina
118,NZK1_azanorbornano_etil_amida_pyrimidil_piperazina,O=C(CN1CC2CCC1C2)Nc1cnc(N2CCNCC2)nc1,0.6762,5.5,0.8,ALTA,316.2,0.31,73.4,2,6,4,0.1234,True,0,A-linker-C,azanorbornano,etil_amida,pyrimidil_piperazina
119,NZK1_tropano_etil_eter_indol_piperazina,CN1C2CCC1C(COCc1ccc3c(CCN4CCNCC4)c[nH]c3c1)C(O)C2,0.6728,4.63,1.0,ALTA,412.3,1.98,63.8,3,5,7,0.0996,True,0,A-linker-C,tropano,etil_eter,indol_piperazina
120,NZK1_3OH_quinuclidina_etil_eter_pyrimidil_piperazina,OC1CC2CCN1CC2COCc1cnc(N2CCNCC2)nc1,0.6722,5.5,0.8,ALTA,333.2,0.06,73.8,2,7,5,0.1102,True,0,A-linker-C,3OH_quinuclidina,etil_eter,pyrimidil_piperazina
121,NZK1_3OH_quinuclidina_etileno_pyrimidil_piperazina,OC1CC2CCN1CC2CCc1cnc(N2CCNCC2)nc1,0.6717,5.5,0.8,ALTA,317.2,0.48,64.5,2,6,4,0.1085,True,0,A-linker-C,3OH_quinuclidina,etileno,pyrimidil_piperazina
122,NZK1_3OH_quinuclidina_propileno_pyrimidil_piperazina,OC1CC2CCN1CC2CCCc1cnc(N2CCNCC2)nc1,0.6717,5.5,0.8,ALTA,331.2,0.87,64.5,2,6,5,0.1083,True,0,A-linker-C,3OH_quinuclidina,propileno,pyrimidil_piperazina
123,NZK1_tropano_etil_carbonil_benzisoxazol_pip,CN1C2CCC1C(CC(=O)c1ccc3onc(N4CCNCC4)c3c1)C(O)C2,0.6702,5.33,0.8,ALTA,384.2,1.65,81.8,2,7,4,0.1269,True,0,A-linker-C,tropano,etil_carbonil,benzisoxazol_pip
124,NZK1_tropano_etil_eter_pyrimidil_piperazina,CN1C2CCC1C(COCc1cnc(N3CCNCC3)nc1)C(O)C2,0.6697,5.5,0.8,ALTA,347.2,0.25,73.8,2,7,5,0.1017,True,0,A-linker-C,tropano,etil_eter,pyrimidil_piperazina
125,NZK1_azanorbornano_butileno_indol_piperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCCCN1CC2CCC1C2,0.6693,4.54,1.0,ALTA,380.3,3.42,34.3,2,3,8,0.1003,True,0,A-linker-C,azanorbornano,butileno,indol_piperazina
126,NZK1_tropano_etileno_pyrimidil_piperazina,CN1C2CCC1C(CCc1cnc(N3CCNCC3)nc1)C(O)C2,0.6682,5.5,0.8,ALTA,331.2,0.66,64.5,2,6,4,0.0967,True,0,A-linker-C,tropano,etileno,pyrimidil_piperazina
127,NZK1_tropano_propileno_indol_piperazina,CN1C2CCC1C(CCCc1ccc3c(CCN4CCNCC4)c[nH]c3c1)C(O)C2,0.6671,4.5,1.0,ALTA,410.3,2.78,54.5,3,4,7,0.0988,True,0,A-linker-C,tropano,propileno,indol_piperazina
128,NZK1_3OH_quinuclidina_butileno_indol_piperazina,OC1CC2CCN1CC2CCCCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6661,4.4,1.0,ALTA,410.3,2.99,54.5,3,4,8,0.1092,True,0,A-linker-C,3OH_quinuclidina,butileno,indol_piperazina
129,NZK1_quinuclidina_etileno_naftil_piperazina,c1cc(N2CCNCC2)c2ccc(CCC3CN4CCC3CC4)cc2c1,0.6532,4.69,0.8,ALTA,349.3,3.52,18.5,1,3,4,0.1592,True,0,A-linker-C,quinuclidina,etileno,naftil_piperazina
130,NZK1_azabiciclo_222_etileno_naftil_piperazina,c1cc(N2CCNCC2)c2ccc(CCC3CN4CCC3CC4)cc2c1,0.6532,4.69,0.8,ALTA,349.3,3.52,18.5,1,3,4,0.1592,True,0,A-linker-C,azabiciclo_222,etileno,naftil_piperazina
131,NZK1_tropano_butileno_indol_piperazina,CN1C2CCC1C(CCCCc1ccc3c(CCN4CCNCC4)c[nH]c3c1)C(O)C2,0.651,4.12,1.0,ALTA,424.3,3.17,54.5,3,4,8,0.0977,True,0,A-linker-C,tropano,butileno,indol_piperazina
132,NZK1_quinuclidinona_butileno_naftil_piperazina,O=C1CC2CCN1CC2CCCCc1ccc2c(N3CCNCC3)cccc2c1,0.6499,4.59,0.8,ALTA,391.3,3.83,35.6,1,3,6,0.1622,True,0,A-linker-C,quinuclidinona,butileno,naftil_piperazina
133,NZK1_quinuclidinona_etil_amida_indol_piperazina,O=C(CC1CN2CCC1CC2=O)Nc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6469,4.65,0.8,ALTA,409.2,1.81,80.5,3,4,6,0.1439,True,0,A-linker-C,quinuclidinona,etil_amida,indol_piperazina
134,NZK1_azanorbornano_propileno_naftil_piperazina,c1cc(N2CCNCC2)c2ccc(CCCN3CC4CCC3C4)cc2c1,0.6401,4.55,0.8,ALTA,349.3,3.67,18.5,1,3,5,0.1349,True,0,A-linker-C,azanorbornano,propileno,naftil_piperazina
135,NZK1_quinuclidinona_etil_amida_benzisoxazol_pip,O=C(CC1CN2CCC1CC2=O)Nc1ccc2onc(N3CCNCC3)c2c1,0.6383,5.31,0.6,MÉDIA,383.2,1.43,90.7,2,6,4,0.157,True,0,A-linker-C,quinuclidinona,etil_amida,benzisoxazol_pip
136,NZK1_quinuclidinona_etil_eter_arilpiperazina_base,O=C1CC2CCN1CC2COCc1ccc(N2CCNCC2)cc1,0.6375,6.0,1.0,ALTA,329.2,1.48,44.8,1,4,5,0.1416,True,1,A-linker-C,quinuclidinona,etil_eter,arilpiperazina_base
137,NZK1_3OH_quinuclidina_etil_carbonil_pyrimidil_piperazina,O=C(CC1CN2CCC1CC2O)c1cnc(N2CCNCC2)nc1,0.6362,5.5,0.6,MÉDIA,331.2,0.12,81.6,2,7,4,0.1235,True,0,A-linker-C,3OH_quinuclidina,etil_carbonil,pyrimidil_piperazina
138,NZK1_quinuclidina_propileno_naftil_piperazina,c1cc(N2CCNCC2)c2ccc(CCCC3CN4CCC3CC4)cc2c1,0.6356,4.28,0.8,ALTA,363.3,3.91,18.5,1,3,5,0.1577,True,0,A-linker-C,quinuclidina,propileno,naftil_piperazina
139,NZK1_azabiciclo_222_propileno_naftil_piperazina,c1cc(N2CCNCC2)c2ccc(CCCC3CN4CCC3CC4)cc2c1,0.6356,4.28,0.8,ALTA,363.3,3.91,18.5,1,3,5,0.1577,True,0,A-linker-C,azabiciclo_222,propileno,naftil_piperazina
140,NZK1_3OH_quinuclidina_butileno_naftil_piperazina,OC1CC2CCN1CC2CCCCc1ccc2c(N3CCNCC3)cccc2c1,0.6339,4.36,0.8,ALTA,393.3,3.62,38.7,2,4,6,0.1409,True,0,A-linker-C,3OH_quinuclidina,butileno,naftil_piperazina
141,NZK1_quinuclidinona_etileno_arilpiperazina_base,O=C1CC2CCN1CC2CCc1ccc(N2CCNCC2)cc1,0.6337,5.89,1.0,ALTA,313.2,1.9,35.6,1,3,4,0.1443,True,1,A-linker-C,quinuclidinona,etileno,arilpiperazina_base
142,NZK1_quinuclidinona_propileno_arilpiperazina_base,O=C1CC2CCN1CC2CCCc1ccc(N2CCNCC2)cc1,0.6333,5.89,1.0,ALTA,327.2,2.29,35.6,1,3,5,0.1431,True,1,A-linker-C,quinuclidinona,propileno,arilpiperazina_base
143,NZK1_tropano_etil_carbonil_pyrimidil_piperazina,CN1C2CCC1C(CC(=O)c1cnc(N3CCNCC3)nc1)C(O)C2,0.633,5.5,0.6,MÉDIA,345.2,0.3,81.6,2,7,4,0.1129,True,0,A-linker-C,tropano,etil_carbonil,pyrimidil_piperazina
144,NZK1_quinuclidinona_butileno_arilpiperazina_base,O=C1CC2CCN1CC2CCCCc1ccc(N2CCNCC2)cc1,0.629,5.8,1.0,ALTA,341.2,2.68,35.6,1,3,6,0.141,True,1,A-linker-C,quinuclidinona,butileno,arilpiperazina_base
145,NZK1_azanorbornano_butileno_naftil_piperazina,c1cc(N2CCNCC2)c2ccc(CCCCN3CC4CCC3C4)cc2c1,0.6229,4.13,0.8,ALTA,363.3,4.06,18.5,1,3,6,0.1361,True,0,A-linker-C,azanorbornano,butileno,naftil_piperazina
146,NZK1_quinuclidina_etil_amida_arilpiperazina_base,O=C(CC1CN2CCC1CC2)Nc1ccc(N2CCNCC2)cc1,0.6228,5.5,1.0,ALTA,328.2,1.77,47.6,2,4,4,0.1621,True,1,A-linker-C,quinuclidina,etil_amida,arilpiperazina_base
147,NZK1_azabiciclo_222_etil_amida_arilpiperazina_base,O=C(CC1CN2CCC1CC2)Nc1ccc(N2CCNCC2)cc1,0.6228,5.5,1.0,ALTA,328.2,1.77,47.6,2,4,4,0.1621,True,1,A-linker-C,azabiciclo_222,etil_amida,arilpiperazina_base
148,NZK1_quinuclidina_etil_eter_arilpiperazina_base,c1cc(N2CCNCC2)ccc1COCC1CN2CCC1CC2,0.6213,5.69,1.0,ALTA,315.2,1.95,27.7,1,4,5,0.1306,True,1,A-linker-C,quinuclidina,etil_eter,arilpiperazina_base
149,NZK1_azabiciclo_222_etil_eter_arilpiperazina_base,c1cc(N2CCNCC2)ccc1COCC1CN2CCC1CC2,0.6213,5.69,1.0,ALTA,315.2,1.95,27.7,1,4,5,0.1306,True,1,A-linker-C,azabiciclo_222,etil_eter,arilpiperazina_base
150,NZK1_quinuclidinona_etil_amida_arilpiperazina_base,O=C(CC1CN2CCC1CC2=O)Nc1ccc(N2CCNCC2)cc1,0.6211,5.5,1.0,ALTA,342.2,1.29,64.7,2,4,4,0.1565,True,1,A-linker-C,quinuclidinona,etil_amida,arilpiperazina_base
151,NZK1_quinuclidina_butileno_indol_piperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCCCC1CN2CCC1CC2,0.6201,4.19,0.8,ALTA,394.3,3.67,34.3,2,3,8,0.1185,True,0,A-linker-C,quinuclidina,butileno,indol_piperazina
152,NZK1_azabiciclo_222_butileno_indol_piperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCCCC1CN2CCC1CC2,0.6201,4.19,0.8,ALTA,394.3,3.67,34.3,2,3,8,0.1185,True,0,A-linker-C,azabiciclo_222,butileno,indol_piperazina
153,NZK1_tropano_butileno_naftil_piperazina,CN1C2CCC1C(CCCCc1ccc3c(N4CCNCC4)cccc3c1)C(O)C2,0.6188,4.07,0.8,ALTA,407.3,3.81,38.7,2,4,6,0.1306,True,0,A-linker-C,tropano,butileno,naftil_piperazina
154,NZK1_azanorbornano_etil_amida_arilpiperazina_base,O=C(CN1CC2CCC1C2)Nc1ccc(N2CCNCC2)cc1,0.6159,5.5,1.0,ALTA,314.2,1.52,47.6,2,4,4,0.139,True,1,A-linker-C,azanorbornano,etil_amida,arilpiperazina_base
155,NZK1_quinuclidina_butileno_naftil_piperazina,c1cc(N2CCNCC2)c2ccc(CCCCC3CN4CCC3CC4)cc2c1,0.6146,3.79,0.8,ALTA,377.3,4.3,18.5,1,3,6,0.1555,True,0,A-linker-C,quinuclidina,butileno,naftil_piperazina
156,NZK1_azabiciclo_222_butileno_naftil_piperazina,c1cc(N2CCNCC2)c2ccc(CCCCC3CN4CCC3CC4)cc2c1,0.6146,3.79,0.8,ALTA,377.3,4.3,18.5,1,3,6,0.1555,True,0,A-linker-C,azabiciclo_222,butileno,naftil_piperazina
157,NZK1_azanorbornano_etil_eter_arilpiperazina_base,c1cc(N2CCNCC2)ccc1COCN1CC2CCC1C2,0.6133,5.69,1.0,ALTA,301.2,2.05,27.7,1,4,5,0.1039,True,1,A-linker-C,azanorbornano,etil_eter,arilpiperazina_base
158,NZK1_quinuclidina_etileno_arilpiperazina_base,c1cc(N2CCNCC2)ccc1CCC1CN2CCC1CC2,0.6124,5.46,1.0,ALTA,299.2,2.37,18.5,1,3,4,0.133,True,1,A-linker-C,quinuclidina,etileno,arilpiperazina_base
159,NZK1_azabiciclo_222_etileno_arilpiperazina_base,c1cc(N2CCNCC2)ccc1CCC1CN2CCC1CC2,0.6124,5.46,1.0,ALTA,299.2,2.37,18.5,1,3,4,0.133,True,1,A-linker-C,azabiciclo_222,etileno,arilpiperazina_base
160,NZK1_3OH_quinuclidina_etil_eter_arilpiperazina_base,OC1CC2CCN1CC2COCc1ccc(N2CCNCC2)cc1,0.6093,5.5,1.0,ALTA,331.2,1.27,48.0,2,5,5,0.117,True,1,A-linker-C,3OH_quinuclidina,etil_eter,arilpiperazina_base
161,NZK1_3OH_quinuclidina_etileno_arilpiperazina_base,OC1CC2CCN1CC2CCc1ccc(N2CCNCC2)cc1,0.6084,5.47,1.0,ALTA,315.2,1.69,38.7,2,4,4,0.1184,True,1,A-linker-C,3OH_quinuclidina,etileno,arilpiperazina_base
162,NZK1_3OH_quinuclidina_propileno_arilpiperazina_base,OC1CC2CCN1CC2CCCc1ccc(N2CCNCC2)cc1,0.6083,5.47,1.0,ALTA,329.2,2.08,38.7,2,4,5,0.1178,True,1,A-linker-C,3OH_quinuclidina,propileno,arilpiperazina_base
163,NZK1_3OH_quinuclidina_etil_amida_benzisoxazol_pip,O=C(CC1CN2CCC1CC2O)Nc1ccc2onc(N3CCNCC3)c2c1,0.6081,4.69,0.6,MÉDIA,385.2,1.23,93.9,3,7,4,0.1423,True,0,A-linker-C,3OH_quinuclidina,etil_amida,benzisoxazol_pip
164,NZK1_3OH_quinuclidina_butileno_arilpiperazina_base,OC1CC2CCN1CC2CCCCc1ccc(N2CCNCC2)cc1,0.6078,5.47,1.0,ALTA,343.3,2.47,38.7,2,4,6,0.1162,True,1,A-linker-C,3OH_quinuclidina,butileno,arilpiperazina_base
165,NZK1_quinuclidina_propileno_arilpiperazina_base,c1cc(N2CCNCC2)ccc1CCCC1CN2CCC1CC2,0.6066,5.33,1.0,ALTA,313.3,2.76,18.5,1,3,5,0.1318,True,1,A-linker-C,quinuclidina,propileno,arilpiperazina_base
166,NZK1_azabiciclo_222_propileno_arilpiperazina_base,c1cc(N2CCNCC2)ccc1CCCC1CN2CCC1CC2,0.6066,5.33,1.0,ALTA,313.3,2.76,18.5,1,3,5,0.1318,True,1,A-linker-C,azabiciclo_222,propileno,arilpiperazina_base
167,NZK1_tropano_etil_eter_arilpiperazina_base,CN1C2CCC1C(COCc1ccc(N3CCNCC3)cc1)C(O)C2,0.6064,5.5,1.0,ALTA,345.2,1.46,48.0,2,5,5,0.1075,True,1,A-linker-C,tropano,etil_eter,arilpiperazina_base
168,NZK1_azanorbornano_etileno_arilpiperazina_base,c1cc(N2CCNCC2)ccc1CCN1CC2CCC1C2,0.6049,5.46,1.0,ALTA,285.2,2.12,18.5,1,3,4,0.108,True,1,A-linker-C,azanorbornano,etileno,arilpiperazina_base
169,NZK1_azanorbornano_propileno_arilpiperazina_base,c1cc(N2CCNCC2)ccc1CCCN1CC2CCC1C2,0.6048,5.46,1.0,ALTA,299.2,2.51,18.5,1,3,5,0.1078,True,1,A-linker-C,azanorbornano,propileno,arilpiperazina_base
170,NZK1_tropano_etileno_arilpiperazina_base,CN1C2CCC1C(CCc1ccc(N3CCNCC3)cc1)C(O)C2,0.6046,5.47,1.0,ALTA,329.2,1.87,38.7,2,4,4,0.1056,True,1,A-linker-C,tropano,etileno,arilpiperazina_base
171,NZK1_tropano_propileno_arilpiperazina_base,CN1C2CCC1C(CCCc1ccc(N3CCNCC3)cc1)C(O)C2,0.6046,5.47,1.0,ALTA,343.3,2.26,38.7,2,4,5,0.1055,True,1,A-linker-C,tropano,propileno,arilpiperazina_base
172,NZK1_tropano_etil_amida_benzisoxazol_pip,CN1C2CCC1C(CC(=O)Nc1ccc3onc(N4CCNCC4)c3c1)C(O)C2,0.6015,4.59,0.6,MÉDIA,399.2,1.41,93.9,3,7,4,0.1342,True,0,A-linker-C,tropano,etil_amida,benzisoxazol_pip
173,NZK1_3OH_quinuclidina_etil_amida_indol_piperazina,O=C(CC1CN2CCC1CC2O)Nc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6013,4.63,0.6,MÉDIA,411.3,1.6,83.6,4,5,6,0.1278,True,0,A-linker-C,3OH_quinuclidina,etil_amida,indol_piperazina
174,NZK1_tropano_butileno_arilpiperazina_base,CN1C2CCC1C(CCCCc1ccc(N3CCNCC3)cc1)C(O)C2,0.6008,5.39,1.0,ALTA,357.3,2.65,38.7,2,4,6,0.1041,True,1,A-linker-C,tropano,butileno,arilpiperazina_base
175,NZK1_quinuclidinona_etil_amida_pyrimidil_piperazina,O=C(CC1CN2CCC1CC2=O)Nc1cnc(N2CCNCC2)nc1,0.6005,5.48,0.4,BAIXA,344.2,0.08,90.5,2,6,4,0.1407,True,0,A-linker-C,quinuclidinona,etil_amida,pyrimidil_piperazina
176,NZK1_azanorbornano_butileno_arilpiperazina_base,c1cc(N2CCNCC2)ccc1CCCCN1CC2CCC1C2,0.597,5.26,1.0,ALTA,313.3,2.9,18.5,1,3,6,0.1093,True,1,A-linker-C,azanorbornano,butileno,arilpiperazina_base
177,NZK1_3OH_quinuclidina_etil_amida_arilpiperazina_base,O=C(CC1CN2CCC1CC2O)Nc1ccc(N2CCNCC2)cc1,0.5953,5.0,1.0,ALTA,344.2,1.09,67.8,3,5,4,0.1398,True,1,A-linker-C,3OH_quinuclidina,etil_amida,arilpiperazina_base
178,NZK1_quinuclidina_butileno_arilpiperazina_base,c1cc(N2CCNCC2)ccc1CCCCC1CN2CCC1CC2,0.5948,5.06,1.0,ALTA,327.3,3.15,18.5,1,3,6,0.1298,True,1,A-linker-C,quinuclidina,butileno,arilpiperazina_base
179,NZK1_azabiciclo_222_butileno_arilpiperazina_base,c1cc(N2CCNCC2)ccc1CCCCC1CN2CCC1CC2,0.5948,5.06,1.0,ALTA,327.3,3.15,18.5,1,3,6,0.1298,True,1,A-linker-C,azabiciclo_222,butileno,arilpiperazina_base
180,NZK1_tropano_etil_amida_indol_piperazina,CN1C2CCC1C(CC(=O)Nc1ccc3c(CCN4CCNCC4)c[nH]c3c1)C(O)C2,0.5947,4.53,0.6,MÉDIA,425.3,1.79,83.6,4,5,6,0.1198,True,0,A-linker-C,tropano,etil_amida,indol_piperazina
181,NZK1_tropano_etil_amida_arilpiperazina_base,CN1C2CCC1C(CC(=O)Nc1ccc(N3CCNCC3)cc1)C(O)C2,0.5926,5.0,1.0,ALTA,358.2,1.27,67.8,3,5,4,0.1309,True,1,A-linker-C,tropano,etil_amida,arilpiperazina_base
182,NZK1_3OH_quinuclidina_etil_amida_pyrimidil_piperazina,O=C(CC1CN2CCC1CC2O)Nc1cnc(N2CCNCC2)nc1,0.5707,4.88,0.4,BAIXA,346.2,-0.12,93.6,3,7,4,0.1246,True,0,A-linker-C,3OH_quinuclidina,etil_amida,pyrimidil_piperazina
183,NZK1_tropano_etil_amida_pyrimidil_piperazina,CN1C2CCC1C(CC(=O)Nc1cnc(N3CCNCC3)nc1)C(O)C2,0.5684,4.88,0.4,BAIXA,360.2,0.06,93.6,3,7,4,0.1169,True,0,A-linker-C,tropano,etil_amida,pyrimidil_piperazina
