Rank,Nome,SMILES,Score_Final,CNS_MPO,BBB_Cat,MW,LogP,TPSA,HBD,HBA,Multi_Target,N_Sistemas,Sistemas,Max_Anti_Sim,N_Alertas,Estrategia
114,NZK2a_quinuclidina_etil_amida_indolpiperazina,O=C(CC1CN2CCC1CC2)Nc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.627,4.75,ALTA,395.3,2.29,63.4,3,4,0.1415,2,colinergico|dopaminergico,0.151,0,core_piperazina
115,NZK2a_quinuclidinona_etil_carbonil_indolpiperazina,O=C(CC1CN2CCC1CC2=O)c1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6269,5.26,ALTA,394.2,2.06,68.4,2,4,0.1396,1,serotoninergico,0.188,0,core_piperazina
116,NZK2c_fenilpiperazina_propileno_indazol,c1ccc(N2CCNCC2CCCc2ccc3[nH]ncc3c2)cc1,0.6265,4.89,ALTA,320.2,3.36,44.0,2,3,0.1208,2,dopaminergico|serotoninergico,0.13,0,pip_heterociclo
117,NZK2a_azanorbornano_propileno_benzisoxazolpip,c1cc2onc(N3CCNCC3)c2cc1CCCN1CC2CCC1C2,0.626,5.92,ALTA,340.2,2.65,44.5,1,5,0.1146,0,,0.14,0,core_piperazina
118,NZK2b_3OH_quinuclidina_etileno_oxazol,OC1CC2CCN1CC2CCc1cocn1,0.626,6.0,ALTA,222.1,1.27,49.5,1,4,0.1039,0,,0.135,0,core_imidazol
119,NZK2b_3OH_quinuclidina_propileno_oxazol,OC1CC2CCN1CC2CCCc1cocn1,0.6259,6.0,ALTA,236.2,1.66,49.5,1,4,0.1037,0,,0.132,0,core_imidazol
120,NZK2b_3OH_quinuclidina_butileno_oxazol,OC1CC2CCN1CC2CCCCc1cocn1,0.6256,6.0,ALTA,250.2,2.05,49.5,1,4,0.1023,0,,0.13,0,core_imidazol
121,NZK2c_pyrimidilpiperazina_etil_eter_benzotiofeno,c1cnc(N2CCNCC2COCc2ccc3sccc3c2)nc1,0.6253,5.91,ALTA,340.1,2.69,50.3,1,6,0.1131,0,,0.099,0,pip_heterociclo
122,NZK2c_pyrimidilpiperazina_propil_amina_benzofuran,c1cnc(N2CCNCC2CCCNc2ccc3ccoc3c2)nc1,0.6253,5.3,ALTA,337.2,2.89,66.2,2,6,0.1279,1,serotoninergico,0.123,0,pip_heterociclo
123,NZK2a_quinuclidina_propil_amina_benzisoxazolpip,c1cc2onc(N3CCNCC3)c2cc1NCCCC1CN2CCC1CC2,0.6252,5.3,ALTA,369.3,2.77,56.6,2,6,0.1276,1,colinergico,0.103,0,core_piperazina
124,NZK2c_pyrimidilpiperazina_butileno_benzofuran,c1cnc(N2CCNCC2CCCCc2ccc3ccoc3c2)nc1,0.6251,5.34,ALTA,336.2,3.41,54.2,1,5,0.1217,1,serotoninergico,0.14,0,pip_heterociclo
125,NZK2b_quinuclidina_etil_eter_piperidin_imidazol,c1nc(COCC2CN3CCC2CC3)cn1C1CCNCC1,0.625,6.0,ALTA,304.2,1.67,42.3,1,5,0.1001,0,,0.086,0,core_imidazol
126,NZK2b_quinuclidina_propileno_benzimidazol,c1nc2cc(CCCC3CN4CCC3CC4)ccc2[nH]1,0.6248,5.32,ALTA,269.2,3.23,31.9,1,2,0.1232,1,colinergico,0.125,0,core_imidazol
127,NZK2a_3OH_quinuclidina_etil_carbonil_indolpiperazina,O=C(CC1CN2CCC1CC2O)c1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6236,4.74,ALTA,396.3,1.85,71.6,3,5,0.1289,2,serotoninergico|sigma,0.202,0,core_piperazina
128,NZK2b_quinuclidina_etil_eter_tiazol_amino,c1csc(NCOCC2CN3CCC2CC3)n1,0.6236,5.93,ALTA,253.1,1.87,37.4,1,5,0.1038,0,,0.091,0,core_imidazol
129,NZK2a_quinuclidina_etil_amida_pyrimidilpiperazina,O=C(CC1CN2CCC1CC2)Nc1cnc(N2CCNCC2)nc1,0.623,5.5,ALTA,330.2,0.56,73.4,2,6,0.1453,2,colinergico|serotoninergico,0.13,0,core_piperazina
130,NZK2a_quinuclidina_etil_eter_indolpiperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1COCC1CN2CCC1CC2,0.623,5.34,ALTA,382.3,2.47,43.5,2,4,0.1134,1,colinergico,0.115,0,core_piperazina
131,REF_bitopertin,O=C1NC(c2ccc(OC(F)F)cc2)(C(O)c2cc(F)ccc2F)CO1,0.623,4.94,ALTA,371.1,3.23,67.8,2,4,0.1666,1,glutamatergico,0.197,0,referencia
132,NZK2c_pyrimidilpiperazina_etil_carbonil_indazol,O=C(CC1CNCCN1c1ncccn1)c1ccc2[nH]ncc2c1,0.6228,5.5,ALTA,322.2,1.4,86.8,2,6,0.1444,2,dopaminergico|serotoninergico,0.161,0,pip_heterociclo
133,NZK2a_quinuclidina_propil_amina_sulfonamidapip,O=S(=O)(NNCCCC1CN2CCC1CC2)c1ccc(N2CCNCC2)cc1,0.6221,4.66,ALTA,407.2,1.0,76.7,3,6,0.1336,2,colinergico|serotoninergico,0.122,0,core_piperazina
134,NZK2a_quinuclidinona_etil_carbonil_pyrimidilpiperazina,O=C(CC1CN2CCC1CC2=O)c1cnc(N2CCNCC2)nc1,0.6219,6.0,ALTA,329.2,0.33,78.4,1,6,0.1411,1,serotoninergico,0.143,0,core_piperazina
135,NZK2b_3OH_quinuclidina_etileno_imidazol_N_metil,OC1CC2CCN1CC2CCCn1ccnc1,0.6213,6.0,ALTA,235.2,1.32,41.3,1,4,0.0854,0,,0.122,0,core_imidazol
136,NZK2b_3OH_quinuclidina_propileno_imidazol_N_metil,OC1CC2CCN1CC2CCCCn1ccnc1,0.6213,6.0,ALTA,249.2,1.71,41.3,1,4,0.0851,0,,0.12,0,core_imidazol
137,NZK2b_3OH_quinuclidina_butileno_imidazol_N_metil,OC1CC2CCN1CC2CCCCCn1ccnc1,0.621,6.0,ALTA,263.2,2.1,41.3,1,4,0.084,0,,0.118,0,core_imidazol
138,NZK2b_quinuclidinona_butileno_benzimidazol,O=C1CC2CCN1CC2CCCCc1ccc2[nH]cnc2c1,0.6206,5.61,ALTA,297.2,3.14,49.0,1,2,0.1343,0,,0.157,0,core_imidazol
139,NZK2b_quinuclidina_propil_amina_benzimidazol,c1nc2cc(NCCCC3CN4CCC3CC4)ccc2[nH]1,0.6205,5.15,ALTA,284.2,3.1,44.0,2,3,0.1287,1,colinergico,0.114,0,core_imidazol
140,REF_BQCA,O=C(O)c1ccc(-c2cccc(C(F)(F)F)c2)c(=O)[nH]1,0.6198,4.79,ALTA,283.0,2.76,70.2,2,2,0.174,1,colinergico,0.177,0,referencia
141,NZK2b_quinuclidina_etileno_piperidin_imidazol,c1nc(CCC2CN3CCC2CC3)cn1C1CCNCC1,0.6193,5.83,ALTA,288.2,2.08,33.1,1,4,0.0997,0,,0.09,0,core_imidazol
142,NZK2b_quinuclidina_propileno_piperidin_imidazol,c1nc(CCCC2CN3CCC2CC3)cn1C1CCNCC1,0.6193,5.83,ALTA,302.2,2.47,33.1,1,4,0.0997,0,,0.089,0,core_imidazol
143,NZK2a_azanorbornano_butileno_benzisoxazolpip,c1cc2onc(N3CCNCC3)c2cc1CCCCN1CC2CCC1C2,0.619,5.71,ALTA,354.2,3.04,44.5,1,5,0.1145,0,,0.151,0,core_piperazina
144,NZK2a_quinuclidinona_etileno_pyrimidilpiperazina,O=C1CC2CCN1CC2CCc1cnc(N2CCNCC2)nc1,0.6187,6.0,ALTA,315.2,0.69,61.4,1,5,0.1283,1,serotoninergico,0.111,0,core_piperazina
145,NZK2a_quinuclidinona_etil_eter_pyrimidilpiperazina,O=C1CC2CCN1CC2COCc1cnc(N2CCNCC2)nc1,0.6186,6.0,ALTA,331.2,0.27,70.6,1,6,0.1278,1,serotoninergico,0.105,0,core_piperazina
146,NZK2a_quinuclidinona_propileno_indolpiperazina,O=C1CC2CCN1CC2CCCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6184,5.1,ALTA,394.3,2.81,51.4,2,3,0.127,1,serotoninergico,0.143,0,core_piperazina
147,NZK2b_3OH_quinuclidina_etil_carbonil_oxazol,O=C(CC1CN2CCC1CC2O)c1cocn1,0.6182,6.0,ALTA,236.1,0.91,66.6,1,5,0.1261,1,colinergico,0.149,0,core_imidazol
148,NZK2c_pyrimidilpiperazina_etileno_benzotiofeno,c1cnc(N2CCNCC2CCc2ccc3sccc3c2)nc1,0.6172,5.65,ALTA,324.1,3.1,41.1,1,5,0.1156,0,,0.103,0,pip_heterociclo
149,NZK2b_quinuclidina_etil_sulfonamida_oxazol,O=S(=O)(CC1CN2CCC1CC2)Nc1cocn1,0.6171,6.0,ALTA,271.1,0.76,75.4,1,5,0.1219,1,colinergico,0.105,0,core_imidazol
150,NZK2c_benzisoxazolpip_etileno_indazol,c1ccc2c(N3CCNCC3CCc3ccc4[nH]ncc4c3)noc2c1,0.6169,5.13,ALTA,347.2,3.12,70.0,2,5,0.117,1,colinergico,0.107,0,pip_heterociclo
151,NZK2a_quinuclidina_etileno_indolpiperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCC1CN2CCC1CC2,0.6164,5.12,ALTA,366.3,2.89,34.3,2,3,0.1162,1,colinergico,0.134,0,core_piperazina
152,NZK2b_quinuclidina_propil_amina_imidazol_N_metil,c1cn(CNCCCC2CN3CCC2CC3)cn1,0.6164,5.83,ALTA,248.2,1.55,33.1,1,4,0.0882,0,,0.079,0,core_imidazol
153,NZK2c_fenilpiperazina_propil_amina_indazol,c1ccc(N2CCNCC2CCCNc2ccc3[nH]ncc3c2)cc1,0.6156,4.52,ALTA,335.2,3.23,56.0,3,4,0.1265,2,dopaminergico|serotoninergico,0.139,0,pip_heterociclo
154,NZK2b_quinuclidina_etil_amida_imidazol_N_metil,O=C(CC1CN2CCC1CC2)NCn1ccnc1,0.6155,6.0,ALTA,248.2,0.69,50.2,1,4,0.1152,1,colinergico,0.107,0,core_imidazol
155,REF_d_cicloserina,N[C@H]1CONC1=O,0.6145,5.5,ALTA,102.0,-1.62,64.3,2,3,0.1779,1,glutamatergico,0.075,0,referencia
156,NZK2b_quinuclidina_etil_eter_imidazol_N_metil,c1cn(CCOCC2CN3CCC2CC3)cn1,0.614,5.76,ALTA,235.2,1.24,30.3,0,4,0.0882,0,,0.096,0,core_imidazol
157,NZK2b_3OH_quinuclidina_etil_carbonil_tiazol_amino,O=C(CC1CN2CCC1CC2O)Nc1nccs1,0.6138,5.5,ALTA,267.1,1.13,65.5,2,5,0.1218,0,,0.128,0,core_imidazol
158,NZK2c_pyrimidilpiperazina_etileno_indazol,c1cnc(N2CCNCC2CCc2ccc3[nH]ncc3c2)nc1,0.6138,5.5,ALTA,308.2,1.76,69.7,2,5,0.122,0,,0.103,0,pip_heterociclo
159,NZK2b_3OH_quinuclidina_etileno_benzimidazol,OC1CC2CCN1CC2CCc1ccc2[nH]cnc2c1,0.6133,5.5,ALTA,271.2,2.16,52.1,2,3,0.1198,0,,0.125,0,core_imidazol
160,NZK2c_pyrimidilpiperazina_etil_eter_indazol,c1cnc(N2CCNCC2COCc2ccc3[nH]ncc3c2)nc1,0.6132,5.5,ALTA,324.2,1.35,79.0,2,6,0.1193,0,,0.099,0,pip_heterociclo
161,NZK2b_quinuclidina_butileno_piperidin_imidazol,c1nc(CCCCC2CN3CCC2CC3)cn1C1CCNCC1,0.6129,5.65,ALTA,316.3,2.86,33.1,1,4,0.0983,0,,0.096,0,core_imidazol
162,NZK2b_3OH_quinuclidina_etil_eter_benzimidazol,OC1CC2CCN1CC2COCc1ccc2[nH]cnc2c1,0.6129,5.5,ALTA,287.2,1.74,61.4,2,4,0.1183,0,,0.119,0,core_imidazol
163,NZK2c_fenilpiperazina_etil_sulfonamida_benzotiofeno,O=S(=O)(CC1CNCCN1c1ccccc1)Nc1ccc2sccc2c1,0.6129,4.93,ALTA,387.1,3.12,61.4,2,5,0.1275,1,serotoninergico,0.139,0,pip_heterociclo
164,NZK2b_3OH_quinuclidina_etil_carbonil_piperidin_imidazol,O=C(CC1CN2CCC1CC2O)c1cn(C2CCNCC2)cn1,0.6128,5.5,ALTA,318.2,1.04,70.4,2,6,0.1178,0,,0.136,0,core_imidazol
165,NZK2a_quinuclidina_etil_eter_sulfonamidapip,O=S(=O)(NCOCC1CN2CCC1CC2)c1ccc(N2CCNCC2)cc1,0.6127,5.26,ALTA,394.2,0.69,73.9,2,6,0.1363,2,colinergico|serotoninergico,0.096,0,core_piperazina
166,NZK2a_azanorbornano_etileno_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCN1CC2CCC1C2,0.6127,6.0,ALTA,287.2,0.91,44.3,1,5,0.1043,1,serotoninergico,0.105,0,core_piperazina
167,NZK2b_3OH_quinuclidina_propileno_benzimidazol,OC1CC2CCN1CC2CCCc1ccc2[nH]cnc2c1,0.6122,5.48,ALTA,285.2,2.55,52.1,2,3,0.118,0,,0.129,0,core_imidazol
168,NZK2a_quinuclidinona_propil_amina_benzisoxazolpip,O=C1CC2CCN1CC2CCCNc1ccc2onc(N3CCNCC3)c2c1,0.6119,5.33,ALTA,383.2,2.3,73.6,2,6,0.1371,0,,0.131,0,core_piperazina
169,NZK2b_quinuclidina_etil_eter_aminotiazol_pip,c1sc(NCOCC2CN3CCC2CC3)nc1N1CCNCC1,0.6106,5.5,ALTA,337.2,1.28,52.7,2,7,0.1091,0,,0.071,0,core_imidazol
170,NZK2a_3OH_quinuclidina_butileno_pyrimidilpiperazina,OC1CC2CCN1CC2CCCCc1cnc(N2CCNCC2)nc1,0.6105,5.5,ALTA,345.3,1.26,64.5,2,6,0.1086,0,,0.131,0,core_piperazina
171,NZK2a_3OH_quinuclidina_etil_eter_benzisoxazolpip,OC1CC2CCN1CC2COCc1ccc2onc(N3CCNCC3)c2c1,0.6101,5.41,ALTA,372.2,1.41,74.0,2,7,0.1192,0,,0.121,0,core_piperazina
172,NZK2b_quinuclidina_butileno_aminotiazol_pip,c1sc(NCCCCC2CN3CCC2CC3)nc1N1CCNCC1,0.6101,5.5,ALTA,349.2,2.48,43.4,2,6,0.1072,0,,0.084,0,core_imidazol
173,NZK2b_3OH_quinuclidina_propil_amina_oxazol,OC1CC2CCN1CC2CCCNc1cocn1,0.6095,5.5,ALTA,251.2,1.53,61.5,2,5,0.1047,0,,0.127,0,core_imidazol
174,NZK2b_quinuclidina_propil_amina_piperidin_imidazol,c1nc(NCCCC2CN3CCC2CC3)cn1C1CCNCC1,0.6089,5.5,ALTA,317.3,2.34,45.1,2,5,0.1022,0,,0.085,0,core_imidazol
175,REF_idalopirdina,O=S(=O)(Nc1cnc2ccccc2n1)c1ccc(N2CCNCC2)cc1,0.6087,5.43,ALTA,369.1,1.84,87.2,2,6,0.1642,1,serotoninergico,0.125,0,referencia
176,NZK2b_quinuclidina_propil_amina_tiazol_amino,c1csc(NNCCCC2CN3CCC2CC3)n1,0.6084,5.5,ALTA,266.2,2.18,40.2,2,5,0.1002,0,,0.091,0,core_imidazol
177,NZK2b_3OH_quinuclidina_etil_eter_tiazol_amino,OC1CC2CCN1CC2COCNc1nccs1,0.6084,5.5,ALTA,269.1,1.19,57.6,2,6,0.1002,0,,0.111,0,core_imidazol
178,NZK2b_3OH_quinuclidina_etileno_tiazol_amino,OC1CC2CCN1CC2CCNc1nccs1,0.6083,5.5,ALTA,253.1,1.61,48.4,2,5,0.1,0,,0.115,0,core_imidazol
179,NZK2b_3OH_quinuclidina_propileno_tiazol_amino,OC1CC2CCN1CC2CCCNc1nccs1,0.6082,5.5,ALTA,267.1,2.0,48.4,2,5,0.0995,0,,0.114,0,core_imidazol
180,NZK2b_3OH_quinuclidina_butileno_tiazol_amino,OC1CC2CCN1CC2CCCCNc1nccs1,0.6079,5.5,ALTA,281.2,2.39,48.4,2,5,0.0982,0,,0.113,0,core_imidazol
181,NZK2b_3OH_quinuclidina_etileno_piperidin_imidazol,OC1CC2CCN1CC2CCc1cn(C2CCNCC2)cn1,0.6074,5.5,ALTA,304.2,1.4,53.3,2,5,0.0963,0,,0.11,0,core_imidazol
182,NZK2b_3OH_quinuclidina_propileno_piperidin_imidazol,OC1CC2CCN1CC2CCCc1cn(C2CCNCC2)cn1,0.6074,5.5,ALTA,318.2,1.79,53.3,2,5,0.0964,0,,0.108,0,core_imidazol
183,NZK2b_3OH_quinuclidina_butileno_piperidin_imidazol,OC1CC2CCN1CC2CCCCc1cn(C2CCNCC2)cn1,0.6071,5.5,ALTA,332.3,2.18,53.3,2,5,0.0952,0,,0.107,0,core_imidazol
184,NZK2b_quinuclidina_etileno_imidazol_N_metil,c1cn(CCCC2CN3CCC2CC3)cn1,0.6064,5.53,ALTA,219.2,2.01,21.1,0,3,0.0881,0,,0.1,0,core_imidazol
185,NZK2a_quinuclidina_butileno_triazolpiperazina,C(CCC1CN2CCC1CC2)Cc1nn[nH]c1N1CCNCC1,0.6063,5.5,ALTA,318.3,1.27,60.1,2,5,0.0917,0,,0.084,0,core_piperazina
186,NZK2b_quinuclidina_propileno_imidazol_N_metil,c1cn(CCCCC2CN3CCC2CC3)cn1,0.6063,5.53,ALTA,233.2,2.4,21.1,0,3,0.0877,0,,0.099,0,core_imidazol
187,NZK2a_quinuclidinona_etil_eter_indolpiperazina,O=C1CC2CCN1CC2COCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.606,5.24,ALTA,396.3,2.0,60.6,2,4,0.1255,0,,0.121,0,core_piperazina
188,NZK2c_fenilpiperazina_etil_eter_benzofuran,c1ccc(N2CCNCC2COCc2ccc3ccoc3c2)cc1,0.606,5.26,ALTA,322.2,3.43,37.6,1,4,0.1228,0,,0.13,0,pip_heterociclo
189,NZK2b_3OH_quinuclidina_etil_amida_benzimidazol,O=C(CC1CN2CCC1CC2O)Nc1ccc2[nH]cnc2c1,0.6057,5.0,ALTA,300.2,1.55,81.2,3,4,0.1426,2,colinergico|dopaminergico,0.133,0,core_imidazol
190,NZK2a_3OH_quinuclidina_butileno_benzisoxazolpip,OC1CC2CCN1CC2CCCCc1ccc2onc(N3CCNCC3)c2c1,0.6051,5.27,ALTA,384.3,2.61,64.8,2,6,0.1176,0,,0.154,0,core_piperazina
191,NZK2b_quinuclidina_butileno_tiazol_amino,c1csc(NCCCCC2CN3CCC2CC3)n1,0.6051,5.39,ALTA,265.2,3.07,28.2,1,4,0.1016,0,,0.092,0,core_imidazol
192,NZK2b_3OH_quinuclidina_butileno_benzimidazol,OC1CC2CCN1CC2CCCCc1ccc2[nH]cnc2c1,0.6051,5.28,ALTA,299.2,2.94,52.1,2,3,0.1165,0,,0.141,0,core_imidazol
193,NZK2a_quinuclidinona_butileno_indolpiperazina,O=C1CC2CCN1CC2CCCCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.605,4.71,ALTA,408.3,3.2,51.4,2,3,0.1255,1,serotoninergico,0.154,0,core_piperazina
194,NZK2c_pyrimidilpiperazina_propileno_benzotiofeno,c1cnc(N2CCNCC2CCCc2ccc3sccc3c2)nc1,0.6038,5.26,ALTA,338.2,3.49,41.1,1,5,0.1139,0,,0.115,0,pip_heterociclo
195,NZK2b_quinuclidinona_etil_carbonil_aminotiazol_pip,O=C(CC1CN2CCC1CC2=O)Nc1nc(N2CCNCC2)cs1,0.6035,5.5,ALTA,349.2,0.75,77.6,2,6,0.1339,1,serotoninergico,0.106,0,core_imidazol
196,NZK2b_quinuclidina_etil_amida_aminotiazol_pip,O=C(CC1CN2CCC1CC2)NNc1nc(N2CCNCC2)cs1,0.6027,5.0,ALTA,350.2,0.73,72.5,3,7,0.1307,2,colinergico|serotoninergico,0.107,0,core_imidazol
197,NZK2b_quinuclidinona_etil_carbonil_imidazol_N_metil,O=C(CC1CN2CCC1CC2=O)Cn1ccnc1,0.6027,6.0,ALTA,247.1,0.71,55.2,0,4,0.1306,0,,0.127,0,core_imidazol
198,NZK2a_quinuclidinona_propil_amina_pyrimidilpiperazina,O=C1CC2CCN1CC2CCCNc1cnc(N2CCNCC2)nc1,0.6025,5.5,ALTA,344.2,0.95,73.4,2,6,0.1301,1,serotoninergico,0.125,0,core_piperazina
199,NZK2a_azanorbornano_etileno_indolpiperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCN1CC2CCC1C2,0.6023,5.29,ALTA,352.3,2.64,34.3,2,3,0.104,0,,0.12,0,core_piperazina
200,NZK2a_3OH_quinuclidina_etil_carbonil_benzisoxazolpip,O=C(CC1CN2CCC1CC2O)c1ccc2onc(N3CCNCC3)c2c1,0.6021,5.43,ALTA,370.2,1.47,81.8,2,7,0.1377,1,colinergico,0.163,0,core_piperazina
201,NZK2b_3OH_quinuclidina_etil_amida_oxazol,O=C(CC1CN2CCC1CC2O)Nc1cocn1,0.6021,5.5,ALTA,251.1,0.66,78.6,2,5,0.1285,1,colinergico,0.13,0,core_imidazol
202,NZK2a_quinuclidina_etil_carbonil_triazolpiperazina,O=C(CC1CN2CCC1CC2)c1nn[nH]c1N1CCNCC1,0.6014,5.5,ALTA,304.2,0.13,77.2,2,6,0.1254,1,colinergico,0.132,0,core_piperazina
203,NZK2a_quinuclidina_propileno_indolpiperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCCC1CN2CCC1CC2,0.6013,4.68,ALTA,380.3,3.28,34.3,2,3,0.1146,1,colinergico,0.131,0,core_piperazina
204,NZK2b_quinuclidina_butileno_imidazol_N_metil,c1cn(CCCCCC2CN3CCC2CC3)cn1,0.6009,5.38,ALTA,247.2,2.79,21.1,0,3,0.0864,0,,0.097,0,core_imidazol
205,NZK2a_azanorbornano_etileno_sulfonamidapip,O=S(=O)(NCCN1CC2CCC1C2)c1ccc(N2CCNCC2)cc1,0.6007,5.47,ALTA,364.2,0.86,64.7,2,5,0.1267,1,serotoninergico,0.113,0,core_piperazina
206,NZK2c_benzisoxazolpip_etil_carbonil_indazol,O=C(CC1CNCCN1c1noc2ccccc12)c1ccc2[nH]ncc2c1,0.6001,5.36,ALTA,361.2,2.76,87.0,2,6,0.1389,1,colinergico,0.146,0,pip_heterociclo
207,NZK2c_fenilpiperazina_propil_amina_pirrolo_piridina,c1ccc(N2CCNCC2CCCNc2cnc3[nH]ccc3c2)cc1,0.5995,4.52,ALTA,335.2,3.23,56.0,3,4,0.1288,1,serotoninergico,0.125,0,pip_heterociclo
208,REF_sarcosina,CNCC(=O)O,0.5989,5.5,ALTA,89.0,-0.71,49.3,2,2,0.1156,1,glutamatergico,0.075,0,referencia
209,NZK2b_quinuclidina_etil_sulfonamida_piperidin_imidazol,O=S(=O)(CC1CN2CCC1CC2)Nc1cn(C2CCNCC2)cn1,0.5985,5.5,ALTA,353.2,0.89,79.3,2,6,0.114,1,serotoninergico,0.084,0,core_imidazol
210,REF_prucalopride,NC(=O)c1cc2n(c1)CCN(CCCC1CCNC1=O)CC2,0.5985,5.5,MÉDIA,304.2,0.36,80.4,2,4,0.1675,2,serotoninergico|sigma,0.21,0,referencia
211,NZK2a_3OH_quinuclidina_etileno_pyrimidilpiperazina,OC1CC2CCN1CC2CCc1cnc(N2CCNCC2)nc1,0.5979,5.5,ALTA,317.2,0.48,64.5,2,6,0.1115,1,serotoninergico,0.114,0,core_piperazina
212,NZK2b_3OH_quinuclidina_propil_amina_benzimidazol,OC1CC2CCN1CC2CCCNc1ccc2[nH]cnc2c1,0.5976,5.0,ALTA,300.2,2.42,64.2,3,4,0.1238,0,,0.133,0,core_imidazol
213,NZK2b_3OH_quinuclidina_etil_eter_oxazol,OC1CC2CCN1CC2COCc1cocn1,0.5958,6.0,ALTA,238.1,0.85,58.7,1,5,0.1033,0,,0.13,0,core_imidazol
214,NZK2b_3OH_quinuclidina_etil_carbonil_imidazol_N_metil,O=C(CC1CN2CCC1CC2O)Cn1ccnc1,0.5957,6.0,ALTA,249.1,0.5,58.4,1,5,0.1026,0,,0.118,0,core_imidazol
215,NZK2c_pyrimidilpiperazina_etil_sulfonamida_benzotiofeno,O=S(=O)(CC1CNCCN1c1ncccn1)Nc1ccc2sccc2c1,0.5948,5.29,ALTA,389.1,1.91,87.2,2,7,0.1272,1,serotoninergico,0.122,0,pip_heterociclo
216,NZK2b_quinuclidina_etil_sulfonamida_imidazol_N_metil,O=S(=O)(CC1CN2CCC1CC2)NCn1ccnc1,0.5943,6.0,ALTA,284.1,0.1,67.2,1,5,0.0972,0,,0.083,0,core_imidazol
217,NZK2a_azanorbornano_propileno_indolpiperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCCN1CC2CCC1C2,0.5935,5.03,ALTA,366.3,3.03,34.3,2,3,0.1032,0,,0.131,0,core_piperazina
218,NZK2b_3OH_quinuclidina_etileno_aminotiazol_pip,OC1CC2CCN1CC2CCNc1nc(N2CCNCC2)cs1,0.5931,5.0,ALTA,337.2,1.01,63.7,3,7,0.1058,0,,0.093,0,core_imidazol
219,NZK2b_3OH_quinuclidina_propileno_aminotiazol_pip,OC1CC2CCN1CC2CCCNc1nc(N2CCNCC2)cs1,0.593,5.0,ALTA,351.2,1.41,63.7,3,7,0.1052,0,,0.103,0,core_imidazol
220,NZK2c_pyrimidilpiperazina_propil_amina_benzotiofeno,c1cnc(N2CCNCC2CCCNc2ccc3sccc3c2)nc1,0.5929,4.89,ALTA,353.2,3.36,53.1,2,6,0.1196,0,,0.11,0,pip_heterociclo
221,NZK2b_quinuclidina_propil_amina_aminotiazol_pip,c1sc(NNCCCC2CN3CCC2CC3)nc1N1CCNCC1,0.5928,5.0,ALTA,350.2,1.59,55.5,3,7,0.1044,0,,0.082,0,core_imidazol
222,NZK2a_quinuclidinona_propileno_sulfonamidapip,O=C1CC2CCN1CC2CCCNS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.5927,5.17,ALTA,406.2,1.02,81.8,2,5,0.135,1,serotoninergico,0.114,0,core_piperazina
223,NZK2c_benzisoxazolpip_etil_carbonil_benzofuran,O=C(CC1CNCCN1c1noc2ccccc12)c1ccc2ccoc2c1,0.5923,5.12,ALTA,361.1,3.63,71.5,1,6,0.1399,1,colinergico,0.149,0,pip_heterociclo
224,NZK2b_3OH_quinuclidina_etil_eter_imidazol_N_metil,OC1CC2CCN1CC2COCCn1ccnc1,0.5914,6.0,ALTA,251.2,0.56,50.5,1,5,0.0857,0,,0.117,0,core_imidazol
225,NZK2b_3OH_quinuclidina_propil_amina_piperidin_imidazol,OC1CC2CCN1CC2CCCNc1cn(C2CCNCC2)cn1,0.5914,5.0,ALTA,333.3,1.66,65.3,3,6,0.0989,0,,0.105,0,core_imidazol
226,NZK2a_3OH_quinuclidina_propil_amina_benzisoxazolpip,OC1CC2CCN1CC2CCCNc1ccc2onc(N3CCNCC3)c2c1,0.5913,4.82,ALTA,385.2,2.09,76.8,3,7,0.1227,0,,0.121,0,core_piperazina
227,NZK2b_3OH_quinuclidina_butileno_aminotiazol_pip,OC1CC2CCN1CC2CCCCNc1nc(N2CCNCC2)cs1,0.5913,4.96,ALTA,365.2,1.8,63.7,3,7,0.1039,0,,0.102,0,core_imidazol
228,NZK2b_3OH_quinuclidina_propil_amina_tiazol_amino,OC1CC2CCN1CC2CCCNNc1nccs1,0.5909,5.0,ALTA,282.2,1.5,60.4,3,6,0.0969,0,,0.111,0,core_imidazol
229,NZK2c_fenilpiperazina_etil_amida_benzotiofeno,O=C(CC1CNCCN1c1ccccc1)Nc1ccc2sccc2c1,0.5909,4.54,ALTA,351.1,3.71,44.4,2,4,0.1448,2,dopaminergico|serotoninergico,0.139,0,pip_heterociclo
230,NZK2a_3OH_quinuclidina_etileno_indolpiperazina,OC1CC2CCN1CC2CCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.5897,4.84,ALTA,382.3,2.21,54.5,3,4,0.1133,0,,0.153,0,core_piperazina
